;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
14;Barbados ;LATIN AMER. & CARIB    ;279912;431;15700.0;649,5;-0,31;12,5;97,4;481,9;12,71;8,67;0,06;0,16;0,78
15;Belarus ;C.W. OF IND. STATES ;10293011;207600;6100.0;49,6;2,54;13,37;99,6;319,1;11,16;14,02;0,093;0,316;0,591
16;Belgium ;WESTERN EUROPE                     ;10379067;30528;29100.0;340,0;1,23;4,68;98,0;462,6;10,38;10,27;0,01;0,24;0,749
17;Belize ;LATIN AMER. & CARIB    ;287730;22966;4900.0;12,5;0;25,69;94,1;115,7;28,84;5,72;0,142;0,152;0,612
18;Benin ;SUB-SAHARAN AFRICA                 ;7862944;112620;1100.0;69,8;0;85;40,9;9,7;38,85;12,22;0,316;0,138;0,546
19;Bermuda ;NORTHERN AMERICA                   ;65773;53;36000.0;1241,0;2,49;8,53;98,0;851,4;11,4;7,74;0,01;0,1;0,89
20;Bhutan ;ASIA (EX. NEAR EAST)         ;2279723;47000;1300.0;48,5;0;100,44;42,2;14,3;33,65;12,7;0,258;0,379;0,363
21;Bolivia ;LATIN AMER. & CARIB    ;8989046;1098580;2400.0;8,2;-1,32;53,11;87,2;71,9;23,3;7,53;0,128;0,352;0,52
22;Botswana ;SUB-SAHARAN AFRICA                 ;1639833;600370;9000.0;2,7;0;54,58;79,8;80,5;23,08;29,5;0,024;0,469;0,507
23;Brazil ;LATIN AMER. & CARIB    ;188078227;8511965;7600.0;22,1;-0,03;29,61;86,4;225,3;16,56;6,17;0,084;0,4;0,516
24;British Virgin Is. ;LATIN AMER. & CARIB    ;23098;153;16000.0;151,0;10,01;18,05;97,8;506,5;14,89;4,42;0,018;0,062;0,92
